Prefrecture,value
Iwate,19426570296.47034
Kagawa,74055028161.14862
Shimane,12819636258.248997
Shizuoka,235959175854.08508
Tokushima,61229330686.10107
Tokyo,4253867888342.6123
Nagano,50418117082.870514
Niigata,79561261050.90514
Oita,30193301671.819103
Okayama,112044484470.07597
Okinawa,213686811234.5018
Osaka,2430494290566.4
Saga,60659840116.69025
Saitama,1716056251648.947
Tottori,1585585226.6509006
Toyama,31187639194.124992
Wakayama,57376343473.955185
Yamagata,39099115116.32128
Yamaguchi,58126719261.09797
Aichi,1544975615183.3555
Akita,18748784145.601124
Aomori,37204846325.67912
Chiba,876235501925.5939
Ehime,67459053347.09
Fukui,27874984392.335007
Fukuoka,663826065678.5018
Fukushima,58566201652.82028
Gifu,243716643186.26392
Naoasaki,62369784973.383965
Gunma,191760230519.6739
Hiroshima,221906075278.66003
Hokkaido,294744433708.4659
Hyōgo,962371998671.3569
Ibaraki,291692813622.41907
Ishikawa,87821981273.99495
Kagoshima,45129850967.15969
Kanagawa,2008250713757.5679
Kochi,18398989406.282307
Kumamoto,108884084442.04529
Kyoto,229075934651.739
Mie,104773132060.42989
Miyagi,202338706335.37503
Miyazaki,13978210462.673697
Nara,200817443247.74646
Shiga,118637557920.66579
Tochigi,168316487594.86295
Yamanashi,33788803380.061813
